{ source_ip: 10.0.0.7, dest_ip: 3.33.235.18, source_port: 51764, dest_port: 443, timestamp: 1686772842.337993, total_length: 55, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500002976d04000800600000a0000070321eb12ca3401bb1d50e2ddaad3ff1550100204f855000000 }
{ source_ip: 3.33.235.18, dest_ip: 10.0.0.7, source_port: 443, dest_port: 51764, timestamp: 1686772842.415082, total_length: 66, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: None, data: 68545a8ecabf00b8c2997d3b0800450000342a9e4000f40663eb0321eb120a00000701bbca34aad3ff151d50e2de801000770aa700000101050a1d50e2dd1d50e2de }
{ source_ip: 140.82.113.26, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50271, timestamp: 1686772843.090067, total_length: 79, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b0800450000416cb740003006d68c8c52711a0a00000701bbc45fcad2684b60dc46db5018004a08d100001703030014ea41706af1e41348b5d753c161e44fad656ab161 }
{ source_ip: 10.0.0.7, dest_ip: 140.82.113.26, source_port: 50271, dest_port: 443, timestamp: 1686772843.090601, total_length: 83, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500004535d44000800600000a0000078c52711ac45f01bb60dc46dbcad268645018020007ab00001703030018b4a1cac613f515e22e1cf1a9acb1a01f42d16476f0932eeb }
{ source_ip: 10.0.0.7, dest_ip: 3.33.235.18, source_port: 52052, dest_port: 443, timestamp: 1686772843.249511, total_length: 55, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500002976d14000800600000a0000070321eb12cb5401bb6831069a48eef9e5501001fef855000000 }
{ source_ip: 140.82.113.26, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50271, timestamp: 1686772843.252295, total_length: 56, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b0800450000286cb840003006d6a48c52711a0a00000701bbc45fcad2686460dc46f85010004a06f100001703 }
{ source_ip: 3.33.235.18, dest_ip: 10.0.0.7, source_port: 443, dest_port: 52052, timestamp: 1686772843.325797, total_length: 66, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: None, data: 68545a8ecabf00b8c2997d3b08004500003488264000f40606630321eb120a00000701bbcb5448eef9e56831069b8010007224c900000101050a6831069a6831069b }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772845.343504, total_length: 89, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500004bd2f64000e406b8e42cd4d3f60a00000701bbc43388b8bd49cc8dad91501800b434140000170303001e000000000000002c99a693cb1694268dcf9953e980cc6e2287b436acc11f }
{ source_ip: 10.0.0.7, dest_ip: 44.212.211.246, source_port: 50227, dest_port: 443, timestamp: 1686772845.343837, total_length: 93, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500004f6eaf4000800600000a0000072cd4d3f6c43301bbcc8dad9188b8bd6c501802000b1300001703030022000000000000002c85926491e6ede308d913ad7aa904f54646b49ddfef81ca55197b }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772845.547554, total_length: 56, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b080045000028d2f74000e406b9062cd4d3f60a00000701bbc43388b8bd6ccc8dadb8501000b41df500001703 }
{ source_ip: 10.0.0.7, dest_ip: 20.199.120.182, source_port: 57728, dest_port: 443, timestamp: 1686772850.373767, total_length: 98, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500005481480000800600000a00000714c778b6e18001bbcdb391c26787cf2850180204880e0000170303002700000000000001218e4fb1579bb2c2cd99c081bef044600621357bf279d45793c15e814a658783 }
